schools,us_overall_rank,us_labor_rank,rank_diff
"Economics Department, Darla Moore School of Business, University of South CarolinaColumbia, South Carolina (USA)",109,66.0,43.0
"Department of Finance and Business Economics, Marshall School of Business, University of Southern CaliforniaLos Angeles, California (USA)",64,31.0,33.0
"Department of Economics, Colgate UniversityHamilton, New York (USA)",129,106.0,23.0
"Department of Economics, Wellesley CollegeWellesley, Massachusetts (USA)",83,62.0,21.0
"Department of Economics, State University of New York-Albany (SUNY)Albany, New York (USA)",110,90.0,20.0
"Economics Department, Barnard College, Columbia UniversityNew York City, New York (USA)",115,95.0,20.0
"Economics Department, Eller College of Management, University of ArizonaTucson, Arizona (USA)",70,53.0,17.0
"Department of Economics, University of Texas-AustinAustin, Texas (USA)",36,19.0,17.0
"Department of Economics, Cornell UniversityIthaca, New York (USA)",27,13.0,14.0
"Department of Economics, University of California-IrvineIrvine, California (USA)",29,17.0,12.0
"Department of Economics, George Washington UniversityWashington, District of Columbia (USA)",46,36.0,10.0
"Economics Department, Dartmouth CollegeHanover, New Hampshire (USA)",13,5.0,8.0
"Economics Department, University of MichiganAnn Arbor, Michigan (USA)",18,10.0,8.0
"Department of Economics, Andrew Young School of Policy Studies, Georgia State UniversityAtlanta, Georgia (USA)",45,39.0,6.0
"Carol Martin Gatton College of Business and Economics, University of KentuckyLexington, Kentucky (USA)",56,51.0,5.0
"Department of Economics, University of ChicagoChicago, Illinois (USA)",4,3.0,1.0
"Department of Economics, Brigham Young UniversityProvo, Utah (USA)",95,94.0,1.0
"Economics Department, Georgetown UniversityWashington, District of Columbia (USA)",26,27.0,-1.0
"Department of Economics, University of MarylandCollege Park, Maryland (USA)",28,29.0,-1.0
"Department of Economics, Harvard UniversityCambridge, Massachusetts (USA)",1,2.0,-1.0
"Economics Department, University of California-DavisDavis, California (USA)",20,21.0,-1.0
"Economics Department, Massachusetts Institute of Technology (MIT)Cambridge, Massachusetts (USA)",2,4.0,-2.0
"Department of Economics, Stanford UniversityStanford, California (USA)",6,8.0,-2.0
"Economics Department, Yale UniversityNew Haven, Connecticut (USA)",8,11.0,-3.0
"Department of Economics, University of California-BerkeleyBerkeley, California (USA)",3,6.0,-3.0
"Department of Economics, New York University (NYU)New York City, New York (USA)",10,14.0,-4.0
"Economics Department, Michigan State UniversityEast Lansing, Michigan (USA)",23,28.0,-5.0
"Economics Department, Brown UniversityProvidence, Rhode Island (USA)",9,15.0,-6.0
"Department of Economics, University of Massachusetts-AmherstAmherst, Massachusetts (USA)",102,108.0,-6.0
"Department of Economics, Princeton UniversityPrinceton, New Jersey (USA)",5,12.0,-7.0
"Department of Economics, University of PennsylvaniaPhiladelphia, Pennsylvania (USA)",12,20.0,-8.0
"Department of Economics, University of California-Los Angeles (UCLA)Los Angeles, California (USA)",17,26.0,-9.0
"Department of Economics, School of Arts and Sciences, Columbia UniversityNew York City, New York (USA)",7,16.0,-9.0
"Department of Economics, University of Notre DameSouth Bend, Indiana (USA)",35,45.0,-10.0
"Department of Economics, W.P. Carey School of Business, Arizona State UniversityTempe, Arizona (USA)",32,43.0,-11.0
"Department of Economics, University of California-San Diego (UCSD)La Jolla, California (USA)",14,25.0,-11.0
"Department of Economics, Boston UniversityBoston, Massachusetts (USA)",11,23.0,-12.0
"Department of Economics, University of California-Santa Barbara (UCSB)Santa Barbara, California (USA)",31,44.0,-13.0
"Economics Department, University of Wisconsin-MadisonMadison, Wisconsin (USA)",22,35.0,-13.0
"Department of Economics, Ohio State UniversityColumbus, Ohio (USA)",40,55.0,-15.0
"Department of Economics, University of HoustonHouston, Texas (USA)",67,83.0,-16.0
"Department of Economics, Graduate Center, City University of New York (CUNY)New York City, New York (USA)",85,102.0,-17.0
"Department of Economics, Tufts UniversityMedford, Massachusetts (USA)",62,79.0,-17.0
"Department of Economics, University of ConnecticutStorrs, Connecticut (USA)",58,78.0,-20.0
"Department of Economics, Terry College of Business, University of GeorgiaAthens, Georgia (USA)",78,100.0,-22.0
"Department of Economics, University of PittsburghPittsburgh, Pennsylvania (USA)",49,73.0,-24.0
"Department of Economics, Rutgers University-New BrunswickNew Brunswick, New Jersey (USA)",39,64.0,-25.0
"Department of Economics, University of Southern CaliforniaLos Angeles, California (USA)",16,42.0,-26.0
"Economics Department, University of WisconsinMilwaukee, Wisconsin (USA)",88,115.0,-27.0
"Department of Economics, University of MinnesotaMinneapolis, Minnesota (USA)",37,65.0,-28.0
"Department of Economics, Johns Hopkins UniversityBaltimore, Maryland (USA)",33,63.0,-30.0
"Department of Economics, Washington University in St. LouisSt. Louis, Missouri (USA)",43,75.0,-32.0
"Department of Economics, University of VirginiaCharlottesville, Virginia (USA)",38,70.0,-32.0
"Department of Economics, Duke UniversityDurham, North Carolina (USA)",24,56.0,-32.0
"Department of Economics, University of Illinois at ChicagoChicago, Illinois (USA)",77,109.0,-32.0
"Department of Economics, Northwestern UniversityEvanston, Illinois (USA)",15,48.0,-33.0
"Economics Department, Williams CollegeWilliamstown, Massachusetts (USA)",48,82.0,-34.0
"Department of Economics, University of ColoradoBoulder, Colorado (USA)",41,77.0,-36.0
"Department of Economics, Middlebury CollegeMiddlebury, Vermont (USA)",98,135.0,-37.0
"Economics Department, University of California-Santa Cruz (UCSC)Santa Cruz, California (USA)",42,80.0,-38.0
"Department of Economics, Pennsylvania State UniversityState College, Pennsylvania (USA)",30,68.0,-38.0
"Department of Economics, Texas A&M UniversityCollege Station, Texas (USA)",47,89.0,-42.0
"Department of Economics, State University of New York-Binghamton (SUNY)Binghamton, New York (USA)",87,129.0,-42.0
"Department of Economics, University of Illinois at Urbana-ChampaignUrbana-Champaign, Illinois (USA)",66,113.0,-47.0
"Department of Economics, Maxwell School, Syracuse UniversitySyracuse, New York (USA)",68,116.0,-48.0
"Department of Economics, Boston CollegeChestnut Hill, Massachusetts (USA)",21,74.0,-53.0
"Economics Department, University of MissouriColumbia, Missouri (USA)",69,124.0,-55.0
"Department of Economics, Iowa State UniversityAmes, Iowa (USA)",50,107.0,-57.0
"Department of Economics, Lerner College of Business and Economics, University of DelawareNewark, Delaware (USA)",75,136.0,-61.0
"Department of Economics, Krannert School of Management, Purdue UniversityWest Lafayette, Indiana (USA)",63,126.0,-63.0
"Department of Economics, University of OregonEugene, Oregon (USA)",55,118.0,-63.0
"Department of Economics, Florida State UniversityTallahassee, Florida (USA)",73,141.0,-68.0
"Economics Department, University of RochesterRochester, New York (USA)",65,133.0,-68.0
"Economics Department, Stern School of Business, New York University (NYU)New York City, New York (USA)",34,111.0,-77.0
"Department of Economics, Vanderbilt UniversityNashville, Tennessee (USA)",25,104.0,-79.0
"Department of Economics, Emory UniversityAtlanta, Georgia (USA)",59,145.0,-86.0
"Finance and Economics Department, Graduate School of Business, Columbia UniversityNew York City, New York (USA)",19,121.0,-102.0
"Department of Economics, University of WashingtonSeattle, Washington (USA)",44,,
"Division of Social Sciences, California Institute of TechnologyPasadena, California (USA)",51,,
"Economics Department, George Mason UniversityFairfax, Virginia (USA)",52,,
"Argyros School of Business and Economics, Chapman UniversityOrange, California (USA)",53,,
"Department of Economics, Indiana UniversityBloomington, Indiana (USA)",54,,
"Department of Economics, Tepper School of Business Administration, Carnegie Mellon UniversityPittsburgh, Pennsylvania (USA)",57,,
"Department of Economics, International Business School, Brandeis UniversityWaltham, Massachusetts (USA)",60,,
"John E. Walker Department of Economics, College of Business and Behavioral Science, Clemson UniversityClemson, South Carolina (USA)",61,,
"Department of Economics, University of California-RiversideRiverside, California (USA)",71,,
"Department of Economics, University of North Carolina-Chapel-HillChapel Hill, North Carolina (USA)",72,,
"Department of Economics, College of Business, University of WyomingLaramie, Wyoming (USA)",74,,
"Department of Economics, Rice UniversityHouston, Texas (USA)",76,,
"Economics Department, Stony Brook University - SUNYStony Brook, New York (USA)",79,,
"Department of Economics, Tulane UniversityNew Orleans, Louisiana (USA)",80,,
"Department of Economics, Southern Methodist UniversityDallas, Texas (USA)",81,,
"Department of Economics, Finance and Legal Studies, Culverhouse College of Business, University of Alabama-TuscaloosaTuscaloosa, Alabama (USA)",82,,
"School of Economics, LeBow College of Business, Drexel UniversityPhiladelphia, Pennsylvania (USA)",84,,
"Department of Economics, New School for Social Research, The New SchoolNew York City, New York (USA)",86,,
"Department of Business Economics and Public Policy, Ross School of Business, University of MichiganAnn Arbor, Michigan (USA)",89,,
"Department of Economics, University of Hawaii-ManoaManoa, Hawaii (USA)",90,,
"Department of Economics, University of KansasLawrence, Kansas (USA)",91,,
"International Economics Department, School of Advanced International Studies, Johns Hopkins UniversityWashington, District of Columbia (USA)",92,,
"Department of Economics, University of Texas-DallasDallas, Texas (USA)",93,,
"Department of Economics, American UniversityWashington, District of Columbia (USA)",94,,
"Managerial Economics and Decision Sciences (MEDS), Kellogg Graduate School of Management, Northwestern UniversityEvanston, Illinois (USA)",96,,
"Department of Economics, Appalachian State UniversityBoone, North Carolina (USA)",97,,
"Department of Economics, Poole College of Management, North Carolina State UniversityRaleigh, North Carolina (USA)",99,,
"Department of Economics, College of William and MaryWilliamsburg, Virginia (USA)",100,,
"Department of Business Economics and Public Policy, Kelley School of Business, Indiana UniversityBloomington, Indiana (USA)",101,,
"Robert Day School of Economics and Finance, Claremont McKenna CollegeClaremont, California (USA)",103,,
"Department of Economics, University of California-MercedMerced, California (USA)",104,,
"Department of Economics, Auburn UniversityAuburn, Alabama (USA)",105,,
"Department of Economics, College of Business and Economics, West Virginia UniversityMorgantown, West Virginia (USA)",106,,
"Department of Economics and Finance, Jon M. Huntsman School of Business, Utah State UniversityLogan, Utah (USA)",107,,
"Economics Department, University of FloridaGainesville, Florida (USA)",108,,
"Department of Economics, Santa Clara UniversitySanta Clara, California (USA)",111,,
"Department of Economics, School of Business, Virginia Commonwealth UniversityRichmond, Virginia (USA)",112,,
"Department of Economics, Rensselaer Polytechnic InstituteTroy, New York (USA)",113,,
"Department of Economics, Ourso College of Business, Louisiana State UniversityBaton Rouge, Louisiana (USA)",114,,
"Department of Economics, Colorado State UniversityFort Collins, Colorado (USA)",116,,
"Department of Economics, College of Business, University of Tennessee-KnoxvilleKnoxville, Tennessee (USA)",117,,
"Economics Area, Fuqua School of Business, Duke UniversityDurham, North Carolina (USA)",118,,
